date,day_of_week,month,year,week_of_year,Getränke_sales,Getränke_count,Speisen_sales,Speisen_count,Sonstiges_sales,Sonstiges_count,Milchmischgetränke_sales,Milchmischgetränke_count,Hafer_sales,Hafer_count,Röstkaffee_sales,Röstkaffee_count,Kaffee_sales,Kaffee_count,Non Kaffee_sales,Non Kaffee_count,Equipment__sales,Equipment__count,Summer_sales,Summer_count,Decaf_sales,Decaf_count
2021-01-02,Saturday,January,2021,53,692.90,486,125.40,43,424.25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,Monday,January,2021,1,429.20,297,37.00,15,265.00,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,Tuesday,January,2021,1,392.80,309,54.40,19,243.50,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,Thursday,January,2021,1,493.20,290,34.60,12,445.75,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,Friday,January,2021,1,557.50,350,50.60,16,280.50,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,Saturday,January,2021,1,771.40,538,112.40,36,720.05,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,Monday,January,2021,2,363.80,222,48.80,16,289.50,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,Tuesday,January,2021,2,291.60,183,72.20,23,296.50,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,Wednesday,January,2021,2,437.60,309,65.80,23,291.50,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,Thursday,January,2021,2,438.00,313,81.40,29,262.50,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,Friday,January,2021,2,668.60,439,57.40,18,379.00,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,Saturday,January,2021,2,889.22,648,92.20,31,800.08,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,Monday,January,2021,3,390.40,249,63.00,20,254.00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,Tuesday,January,2021,3,337.10,249,68.80,22,376.25,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,Wednesday,January,2021,3,424.90,304,61.00,19,229.00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,Thursday,January,2021,3,561.10,439,66.60,22,308.00,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,Friday,January,2021,3,707.60,526,94.40,33,456.40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-23,Saturday,January,2021,3,991.20,753,144.20,49,412.10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,Monday,January,2021,4,406.10,269,42.60,14,303.50,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-26,Tuesday,January,2021,4,503.00,348,55.60,18,409.50,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,Wednesday,January,2021,4,378.40,289,98.00,34,268.00,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,Thursday,January,2021,4,413.60,321,34.00,12,111.00,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,Friday,January,2021,4,597.90,417,62.80,24,489.50,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-30,Saturday,January,2021,4,800.50,621,105.00,38,1001.30,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,Monday,February,2021,5,402.90,308,43.00,15,271.75,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,Tuesday,February,2021,5,530.70,376,31.80,10,238.75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,Wednesday,February,2021,5,380.00,296,57.20,19,241.50,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04,Thursday,February,2021,5,774.80,623,48.80,18,402.50,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-05,Friday,February,2021,5,744.80,580,86.20,32,368.75,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-06,Saturday,February,2021,5,1357.10,1058,260.60,91,736.50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,Monday,February,2021,6,424.40,332,110.80,37,341.25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-09,Tuesday,February,2021,6,446.00,347,126.80,43,300.25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-10,Wednesday,February,2021,6,393.90,295,82.40,26,243.50,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-11,Thursday,February,2021,6,560.00,404,129.60,39,311.00,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,Friday,February,2021,6,698.70,540,116.60,37,339.00,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-13,Saturday,February,2021,6,1085.70,903,216.80,71,515.00,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-15,Monday,February,2021,7,475.50,408,96.00,28,170.25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-16,Tuesday,February,2021,7,646.50,509,101.00,34,466.75,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-17,Wednesday,February,2021,7,741.00,602,108.80,37,511.00,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,Thursday,February,2021,7,729.30,570,104.80,33,340.50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-19,Friday,February,2021,7,957.10,817,191.00,63,639.50,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-20,Saturday,February,2021,7,1852.80,1393,306.60,101,713.50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,Monday,February,2021,8,857.50,693,157.60,51,465.00,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,Tuesday,February,2021,8,802.00,796,124.20,39,476.00,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Wednesday,February,2021,8,1220.00,1087,135.60,43,314.00,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,Thursday,February,2021,8,965.20,738,177.00,59,332.50,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,Friday,February,2021,8,1129.80,923,192.60,64,358.75,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-27,Saturday,February,2021,8,1691.00,1309,330.60,106,786.00,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,Monday,March,2021,9,749.60,635,198.40,60,317.50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-02,Tuesday,March,2021,9,708.00,615,177.10,54,466.00,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,Wednesday,March,2021,9,807.30,625,191.80,59,494.50,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-04,Thursday,March,2021,9,758.30,684,184.10,64,257.60,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-05,Friday,March,2021,9,571.40,436,222.30,82,293.25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-06,Saturday,March,2021,9,1304.60,924,646.70,283,1007.00,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08,Monday,March,2021,10,840.20,679,189.80,60,249.75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-09,Tuesday,March,2021,10,676.30,509,187.80,58,304.00,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-10,Wednesday,March,2021,10,774.50,644,133.00,41,567.75,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-11,Thursday,March,2021,10,516.90,450,110.20,40,341.50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-12,Friday,March,2021,10,966.80,899,215.80,69,575.00,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-13,Saturday,March,2021,10,1039.70,821,417.60,175,749.50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-15,Monday,March,2021,11,532.30,437,128.60,41,380.00,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-16,Tuesday,March,2021,11,476.00,338,95.00,31,128.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-17,Wednesday,March,2021,11,483.60,380,118.20,37,344.00,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-18,Thursday,March,2021,11,667.70,486,133.20,45,330.50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-19,Friday,March,2021,11,727.10,560,169.20,57,344.75,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-20,Saturday,March,2021,11,1646.10,1395,254.80,87,622.00,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,Monday,March,2021,12,603.60,511,136.20,42,381.50,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-23,Tuesday,March,2021,12,712.00,606,140.40,46,472.75,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-24,Wednesday,March,2021,12,1149.30,769,208.60,68,595.50,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-25,Thursday,March,2021,12,1090.90,859,186.60,63,248.00,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-26,Friday,March,2021,12,1450.70,1086,290.40,95,786.00,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-27,Saturday,March,2021,12,1588.00,1198,469.60,151,656.25,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-29,Monday,March,2021,13,949.50,826,187.20,62,722.65,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-30,Tuesday,March,2021,13,1106.20,837,171.20,57,523.00,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,Wednesday,March,2021,13,1299.20,1033,226.00,72,503.50,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,Thursday,April,2021,13,981.40,701,248.20,81,1022.75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,Friday,April,2021,13,901.30,687,208.60,66,285.00,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-03,Saturday,April,2021,13,1228.90,1056,347.00,112,850.50,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-04,Sunday,April,2021,13,641.90,501,158.80,51,105.50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-05,Monday,April,2021,14,607.60,499,131.20,43,285.00,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-06,Tuesday,April,2021,14,677.30,509,142.00,46,358.25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-07,Wednesday,April,2021,14,543.70,449,104.40,33,356.00,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-08,Thursday,April,2021,14,732.90,746,126.00,44,263.50,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-09,Friday,April,2021,14,1121.60,704,177.80,57,382.00,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-10,Saturday,April,2021,14,1232.60,969,240.00,76,462.60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-11,Sunday,April,2021,14,1031.60,727,247.80,77,245.75,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-12,Monday,April,2021,15,547.80,444,136.40,45,253.00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-13,Tuesday,April,2021,15,683.80,549,89.40,28,237.50,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-14,Wednesday,April,2021,15,718.40,587,80.40,28,263.50,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-15,Thursday,April,2021,15,762.80,591,131.80,43,550.50,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-16,Friday,April,2021,15,1027.82,727,202.60,65,573.58,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-17,Saturday,April,2021,15,1482.90,1198,281.40,87,676.50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-18,Sunday,April,2021,15,869.00,696,183.20,56,278.00,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-19,Monday,April,2021,16,431.70,340,85.20,27,230.00,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-20,Tuesday,April,2021,16,829.80,692,115.00,36,176.30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-21,Wednesday,April,2021,16,855.40,741,172.40,57,244.90,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-22,Thursday,April,2021,16,917.92,713,121.60,40,567.05,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-23,Friday,April,2021,16,1156.98,905,232.20,73,481.00,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-24,Saturday,April,2021,16,1581.80,1224,240.60,76,773.45,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-25,Sunday,April,2021,16,834.60,638,164.40,48,73.30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-26,Monday,April,2021,17,625.26,505,115.36,36,205.70,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-27,Tuesday,April,2021,17,668.60,565,94.80,31,374.80,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-28,Wednesday,April,2021,17,698.60,620,108.20,35,116.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-29,Thursday,April,2021,17,767.90,642,169.60,53,301.90,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30,Friday,April,2021,17,495.50,434,200.40,61,517.00,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,Saturday,May,2021,17,448.90,359,106.40,30,227.00,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-02,Sunday,May,2021,17,470.90,316,66.00,20,85.80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-03,Monday,May,2021,18,783.60,682,164.40,52,565.38,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-04,Tuesday,May,2021,18,635.65,516,107.80,35,482.00,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-05,Wednesday,May,2021,18,543.20,452,98.60,33,417.50,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06,Thursday,May,2021,18,519.94,409,114.20,37,250.75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-07,Friday,May,2021,18,857.52,713,241.08,79,624.00,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-08,Saturday,May,2021,18,1506.70,1159,430.40,134,649.50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-09,Sunday,May,2021,18,754.30,578,145.40,38,155.20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-10,Monday,May,2021,19,621.24,492,141.40,46,282.00,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-11,Tuesday,May,2021,19,629.50,518,127.40,42,311.88,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-12,Wednesday,May,2021,19,623.60,525,128.40,46,400.90,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-13,Thursday,May,2021,19,1117.40,908,234.60,77,226.50,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-14,Friday,May,2021,19,1417.10,1059,237.12,73,715.00,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-15,Saturday,May,2021,19,1460.80,1198,336.20,93,849.40,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-16,Sunday,May,2021,19,1090.60,820,302.80,83,240.00,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-17,Monday,May,2021,20,639.10,583,134.60,43,260.50,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-18,Tuesday,May,2021,20,692.00,646,275.60,82,328.70,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-19,Wednesday,May,2021,20,944.30,785,125.60,42,363.00,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-20,Thursday,May,2021,20,777.10,674,131.40,46,328.20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-21,Friday,May,2021,20,794.20,660,153.40,50,554.00,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-22,Saturday,May,2021,20,1892.26,1441,382.40,117,651.44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-23,Sunday,May,2021,20,1324.40,970,319.40,86,201.50,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-24,Monday,May,2021,21,1049.60,845,298.40,87,211.50,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-25,Tuesday,May,2021,21,815.60,603,153.80,47,270.50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-26,Wednesday,May,2021,21,606.20,477,138.00,44,315.00,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-27,Thursday,May,2021,21,971.20,780,240.00,76,343.50,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-28,Friday,May,2021,21,1057.80,839,201.00,62,505.90,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-29,Saturday,May,2021,21,1432.26,1122,388.00,111,703.40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-30,Sunday,May,2021,21,1425.20,1033,332.40,92,145.00,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-31,Monday,May,2021,22,1037.80,639,178.20,61,365.00,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,Tuesday,June,2021,22,887.00,586,170.40,56,303.00,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-02,Wednesday,June,2021,22,807.60,524,113.00,38,159.00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-03,Thursday,June,2021,22,1100.20,789,182.00,54,299.90,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-04,Friday,June,2021,22,1098.20,704,242.40,72,718.50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-05,Saturday,June,2021,22,1208.80,792,304.40,85,557.90,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06,Sunday,June,2021,22,868.37,495,289.40,76,259.23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-07,Monday,June,2021,23,591.40,351,86.60,29,295.60,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-08,Tuesday,June,2021,23,551.40,338,104.80,34,260.50,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-09,Wednesday,June,2021,23,630.40,352,161.20,54,226.40,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-10,Thursday,June,2021,23,653.80,308,88.60,33,165.00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-11,Friday,June,2021,23,1000.02,503,223.00,73,430.20,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-12,Saturday,June,2021,23,1303.40,626,363.20,102,791.50,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-13,Sunday,June,2021,23,931.60,409,202.20,55,176.80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14,Monday,June,2021,24,651.60,298,137.00,46,141.70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-15,Tuesday,June,2021,24,625.60,355,95.40,34,350.50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-16,Wednesday,June,2021,24,668.00,324,105.10,39,432.70,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-17,Thursday,June,2021,24,561.20,272,121.60,41,254.00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-18,Friday,June,2021,24,769.60,299,160.40,48,229.50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-19,Saturday,June,2021,24,923.60,440,249.00,76,382.00,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-20,Sunday,June,2021,24,992.80,389,264.80,73,224.50,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-21,Monday,June,2021,25,675.40,295,113.00,36,266.50,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-22,Tuesday,June,2021,25,734.80,294,155.20,53,271.90,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-23,Wednesday,June,2021,25,582.40,273,144.60,47,367.30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-24,Thursday,June,2021,25,732.80,364,144.00,51,221.50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-25,Friday,June,2021,25,804.80,366,176.20,56,376.50,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-26,Saturday,June,2021,25,1309.00,587,339.20,102,466.50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-27,Sunday,June,2021,25,1073.40,400,289.00,84,267.00,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-28,Monday,June,2021,26,768.60,324,192.20,62,281.00,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29,Tuesday,June,2021,26,556.40,226,149.00,49,223.00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-30,Wednesday,June,2021,26,857.00,304,123.40,43,134.00,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,Thursday,July,2021,26,905.60,345,201.80,70,336.00,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-02,Friday,July,2021,26,1306.20,488,312.60,92,662.30,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-03,Saturday,July,2021,26,1412.20,636,378.40,115,538.90,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-04,Sunday,July,2021,26,1053.20,350,312.80,86,214.00,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-05,Monday,July,2021,27,761.20,285,150.80,50,211.50,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
